algo,steps_to_threshold,mean_at_threshold,var_after_threshold,diff_from_10k@10k,abs_diff_from_10k@10k,final_score
ppo,0.0,-43924.3515625,0.1198935752868652,0.01718750000145519,0.01718750000145519,3.5
trpo,0.0,-43924.3515625,43.285988678741454,8.764062499998545,8.764062499998545,5.5
dpg,1000.0,-43924.9125,310.88428629896373,80.67851562499709,80.67851562499709,10.0
tqc,3500.0,-43767.533203125,4281.339516042856,401.02734375,401.02734375,16.0
sac,1000.0,-43580.24921875,1999212.1217914214,182.26992187500582,182.26992187500582,23.0
ddpg,1000.0,-43882.41953125,29735410.84683638,-11179.132031249996,11179.132031249996,26.0
td3,1500.0,-43865.175,44132828.44018198,-17537.513281249994,17537.513281249994,30.0
reinforce,,,,,,
avg,,,,,,
